"bin_id","bin_start_age","bin_end_age","midpoint_age","n_simulations","branch_length_D_mean","branch_length_D_sd","branch_length_D_min","branch_length_D_max","branch_length_I_mean","branch_length_I_sd","branch_length_I_min","branch_length_I_max","transitions_DtoI_mean","transitions_DtoI_sd","transitions_DtoI_min","transitions_DtoI_max","transitions_ItoD_mean","transitions_ItoD_sd","transitions_ItoD_min","transitions_ItoD_max","total_branch_length_mean","total_branch_length_sd","total_branch_length_min","total_branch_length_max","prop_D_mean","prop_D_sd","prop_D_min","prop_D_max","prop_I_mean","prop_I_sd","prop_I_min","prop_I_max","rate_DtoI_per_My_mean","rate_DtoI_per_My_sd","rate_DtoI_per_My_min","rate_DtoI_per_My_max","rate_ItoD_per_My_mean","rate_ItoD_per_My_sd","rate_ItoD_per_My_min","rate_ItoD_per_My_max"
1,0,5.55860084239998,2.77930042119999,997,36957.1436261885,84.4316413288119,36713.4096804942,37250.5969113797,73242.2044306139,84.4316413288171,72948.7511454226,73485.9383763082,732.668004012036,21.0120712420147,668,803,715.994984954865,18.114289521376,662,789,110199.348056802,4.86122156438531e-10,110199.348056802,110199.348056803,0.335366263756287,0.000766171876854426,0.333154508877587,0.338029194983793,0.664633736243713,0.000766171876854423,0.661970805016207,0.666845491122413,0.0198240913488217,0.0005413023970059,0.0181411579199675,0.0216127082102005,0.00977555538498654,0.00024061697314574,0.0090632079783617,0.0107495399936797
2,5.55860084239998,11.1172016848,8.33790126359997,997,23122.0582952413,105.168222610825,22802.1766281008,23457.7126801379,40990.0469989961,105.168222610817,40654.3926140996,41309.9286661365,349.331995987964,18.8099005516519,299,416,261.612838515547,16.0353699059011,201,317,64112.1052942374,5.81185608586585e-11,64112.1052942372,64112.1052942375,0.360650429261751,0.00164038011430384,0.355661017891271,0.365885858411303,0.639349570738249,0.00164038011430385,0.634114141588697,0.644338982108729,0.0151075910995705,0.000799406658619156,0.0128354208275673,0.0179555153914458,0.00638217206574713,0.000387894068796852,0.00490791425211748,0.00775227329334031
3,11.1172016848,16.6758025271999,13.8965021059999,997,15104.4101237364,98.1786610780492,14757.1528352533,15375.9405188862,24034.1866224684,98.1786610780483,23762.6562273186,24381.4439109515,205.543630892678,14.9174889967461,158,253,168.58074222668,13.1370116293223,128,210,39138.5967462048,1.40690679565529e-11,39138.5967462047,39138.5967462049,0.385921095272816,0.0025084869985169,0.377048593002616,0.392858758288956,0.614078904727184,0.0025084869985169,0.607141241711044,0.622951406997385,0.0136077411124321,0.000977584266719563,0.0105012227251772,0.0169189453876081,0.00701401487203884,0.000543477671494933,0.00532596856304595,0.00869271157959804
4,16.6758025271999,22.2344033695999,19.4551029483999,997,11295.2069062835,102.372053532749,10973.9615706941,11683.1392085723,17260.4681965046,102.372053532751,16872.5358942158,17581.713532094,143.606820461384,14.4482831215861,103,208,135.881644934804,13.1633250589941,95,181,28555.6751027881,4.40158666737333e-12,28555.6751027881,28555.6751027882,0.395550336863886,0.0035849985393185,0.384300547306011,0.409135457891226,0.604449663136114,0.00358499853931848,0.590864542108774,0.615699452693989,0.0127105537321029,0.00123477790094293,0.0091455240423785,0.0180740094601995,0.00787195333694878,0.000757347088892013,0.00559950106188029,0.0104646231405478
5,22.2344033695999,27.7930042119999,25.0137037907999,997,8154.87791450248,73.3674929151182,7912.42413830577,8410.5509180905,10468.3529321688,73.367492915117,10212.6799285808,10710.8067083655,109.531594784353,10.8404944557188,79,151,83.2216649949849,10.0807986808727,54,117,18623.2308466712,4.37003149601809e-11,18623.2308466712,18623.2308466713,0.437887388157469,0.00393956846259207,0.424868499104711,0.451616101810488,0.562112611842531,0.00393956846259207,0.548383898189512,0.575131500895289,0.0134327762726306,0.00133895402112999,0.0097124280303232,0.018823042412158,0.00794948820921214,0.000958084889877726,0.00514043685250359,0.0111557118354145
6,27.7930042119999,33.3516050543999,30.5723046331999,997,5782.79147885874,76.3130370180939,5512.48114024638,6026.76318746474,7801.11725070496,76.3130370180924,7557.14554209896,8071.42758931733,103.501504513541,11.11816992825,73,143,69.8314944834504,8.78386682154129,47,99,13583.9087295637,0,13583.9087295637,13583.9087295637,0.42570894681243,0.0056178997177747,0.4058096421282,0.443669293385948,0.57429105318757,0.0056178997177747,0.556330706614052,0.5941903578718,0.017897952748048,0.00190786154250485,0.0126961123905379,0.0243220151023183,0.00895108545242745,0.00112022951393131,0.00603503323481394,0.012623394480231
7,33.3516050543999,38.9102058967999,36.1309054755999,997,4442.39012398331,76.0325231995199,4085.63054298898,4699.61251485145,5874.1623493643,76.0325231995224,5616.93995849618,6230.92193035868,88.6870611835507,10.1537558628202,55,122,54.7301905717151,8.34198875384452,31,79,10316.5524733476,7.76495269999001e-12,10316.5524733476,10316.5524733477,0.430608009357781,0.00736995458472661,0.396026730203139,0.455540988813142,0.569391990642219,0.00736995458472661,0.544459011186858,0.603973269796861,0.0199593192494318,0.00222639955547692,0.0126631274392396,0.0271718896464117,0.00931393384840122,0.00139205768176581,0.00525937727271004,0.0134168796689763
8,38.9102058967999,44.4688067391998,41.6895063179998,997,3217.31536294864,63.0402618595378,3018.46927570245,3413.34720498556,4849.17474508746,63.0402618595368,4653.14290305055,5048.02083233365,53.6278836509529,8.35500864826325,29,80,41.4744232698094,7.25763673362128,20,66,8066.49010803611,5.28565116511115e-12,8066.49010803609,8066.49010803612,0.398849477264399,0.00781507954701815,0.374198596325725,0.423151477193912,0.601150522735601,0.00781507954701816,0.576848522806088,0.625801403674275,0.0166614326110339,0.00253198657502486,0.0091686351273925,0.0244621242380758,0.00855050190847662,0.0014794291482011,0.00418000504917267,0.013592705716041
9,44.4688067391998,50.0274075815998,47.2481071603998,997,2222.70441192328,48.9335364260749,2019.06241561965,2403.0420001969,3745.75101881215,48.9335364260748,3565.41343053853,3949.39301511577,38.3380140421264,6.04676298843909,22,62,31.5857572718154,5.7654905496734,15,50,5968.45543073542,4.75905841874902e-12,5968.45543073542,5968.45543073543,0.372408647047466,0.00819869344656319,0.338288932379757,0.40262376557628,0.627591352952534,0.00819869344656319,0.59737623442372,0.661711067620243,0.0172529728823529,0.00272352905489651,0.0101620163357906,0.028818370965352,0.00843422502963655,0.0015455887495388,0.00394435351404938,0.0133053457790878
10,50.0274075815998,55.5860084239998,52.8067080027998,997,1806.71636997986,46.4037091205013,1625.5130970206,1939.72352628817,3036.17766533386,46.4037091204999,2903.17050902556,3217.38093829312,31.9478435305918,6.05408089187552,17,49,27.8044132397192,5.40552860873984,10,49,4842.89403531372,2.16042235257694e-12,4842.89403531371,4842.89403531373,0.373065435007566,0.00958181384563268,0.335649115005941,0.400529830333674,0.626934564992434,0.00958181384563267,0.599470169666326,0.664350884994059,0.0176858357887317,0.00333559205196592,0.00939874790889426,0.0272760674284582,0.00915870636222306,0.00178053490163438,0.00328533433532102,0.0159187553624565
11,55.5860084239998,61.1446092663998,58.3653088451998,997,1563.65430764648,46.8702522430486,1427.78221204421,1708.99017386135,2744.63898324185,46.870252243047,2599.30311702698,2880.51107884412,28.6990972918756,5.79326998300152,13,50,24.6840521564694,5.28442779663411,8,43,4308.29329088833,3.78301747290639e-12,4308.29329088832,4308.29329088833,0.362940543289724,0.0108790764877068,0.331403206709219,0.396674520157604,0.637059456710276,0.0108790764877068,0.603325479842396,0.66859679329078,0.0183523333077841,0.00366011390516305,0.00802761826514756,0.0310416680908331,0.00899401770414245,0.00192252994562909,0.00294587653139535,0.0156288671350939
12,61.1446092663998,66.7032101087998,63.9239096875998,997,1269.74475230567,39.7113529017494,1149.39220332696,1382.93678175557,2484.65222965928,39.711352901748,2371.46020020938,2605.00477863798,22.2377131394183,4.86697150520607,10,41,19.1745235707121,4.64866359198662,6,35,3754.39698196494,3.63195275127345e-12,3754.39698196494,3754.39698196495,0.338202049065445,0.0105772919306378,0.306145623078303,0.368351239466365,0.661797950934555,0.0105772919306379,0.631648760533635,0.693854376921697,0.0175230666373736,0.00383583822207388,0.00743827435221606,0.030026101734953,0.00771833277554564,0.00187005614128101,0.0023951952484873,0.0137599197177084
13,66.7032101087998,72.2618109511997,69.4825105299997,997,1019.11689365421,36.3236002579456,909.699701897484,1127.97328270011,2095.50581218796,36.3236002579452,1986.64942314205,2204.92300394468,17.9759277833501,4.41285797742416,5,32,15.3961885656971,4.17927876559483,2,32,3114.62270584216,3.79146012800999e-12,3114.62270584216,3114.62270584217,0.32720396333804,0.0116622794118249,0.292073804056954,0.362154067837606,0.67279603666196,0.0116622794118249,0.637845932162394,0.707926195943046,0.0176545869661337,0.00434646793301588,0.00491963065780553,0.033768451469576,0.0073493363011956,0.00199961441051473,0.000947506112327531,0.0151647230742866
14,72.2618109511997,77.8204117935997,75.0411113723997,997,727.294720090368,35.1894812283868,618.03093083246,855.586279008156,1981.39906410081,35.1894812283868,1853.10750518303,2090.66285335872,14.6409227683049,4.19473881019979,4,35,12.6238716148445,3.91038569975522,2,27,2708.69378419118,0,2708.69378419118,2708.69378419118,0.268503853900022,0.0129913102151908,0.228165669533961,0.315866741379788,0.731496146099978,0.0129913102151908,0.684133258620212,0.771834330466039,0.020152739902201,0.00576017299354708,0.00549257176750528,0.045864466582696,0.00637234043649477,0.00197454345547036,0.000989813098843832,0.0137294176425353
15,77.8204117935997,83.3790126359997,80.5997122147997,997,645.470245636522,34.173350234653,515.732956954981,750.699082933385,1699.62967098166,34.1733502346528,1594.4008336848,1829.3669596632,12.4704112337011,3.68601736668511,2,27,9.59478435305918,3.46790981320536,0,24,2345.09991661818,0,2345.09991661818,2345.09991661818,0.275242108475848,0.0145722363437434,0.219919395886001,0.320113901166289,0.724757891524152,0.0145722363437434,0.679886098833711,0.780080604113999,0.0193472941428793,0.00572652663633823,0.00320191904767841,0.0407378465529089,0.00564254381376057,0.00202855893746096,0,0.0140304601538188
16,83.3790126359997,88.9376134783997,86.1583130571997,997,565.395603864137,27.0298490863054,437.747157719971,660.62393488863,656.660223114829,27.0298490863053,561.431892090336,784.308669258993,9.50050150451354,3.12992579643873,2,21,5.04513540621866,2.50881356196009,0,20,1222.05582697897,1.43700830400801e-12,1222.05582697896,1222.05582697897,0.462659390333948,0.0221183422962973,0.35820553206814,0.540584088144118,0.537340609666052,0.0221183422962972,0.459415911855882,0.64179446793186,0.0168616096792583,0.0056935875541373,0.00338045056093114,0.0401170163046765,0.00767120694973394,0.00376452763850387,0,0.0274277726173807
17,88.9376134783997,94.4962143207997,91.7169138995997,997,468.984811869391,23.702378632325,360.688222941704,540.817735121376,326.681323741999,23.7023786323251,254.848400490013,434.977912669686,6.29889669007021,2.82894689744316,0,17,3.47843530591775,2.19637945033106,0,17,795.66613561139,3.23265506767054e-13,795.666135611389,795.66613561139,0.589424120091554,0.0297893520554474,0.45331604148837,0.679704352009166,0.410575879908446,0.0297893520554474,0.320295647990835,0.54668395851163,0.0135000570670728,0.00623131251674678,0,0.0464837313764796,0.0106040716003383,0.006550600239201,0,0.0395397768933591
18,94.4962143207997,100.0548151632,97.2755147419996,997,315.884938246902,19.082112109979,239.246484561622,371.525764007972,226.955659336891,19.082112109979,171.314833575821,303.594113022171,4.53660982948847,2.24903230891194,0,12,2.46740220661986,1.75113003437905,0,13,542.840597583794,4.54975580437036e-13,542.840597583793,542.840597583794,0.581911042860316,0.0351523305274408,0.440730641051017,0.684410424831247,0.418088957139684,0.0351523305274408,0.315589575168753,0.559269358948983,0.0144335136165423,0.00724904737246668,0,0.041246405743614,0.010890733897876,0.00768352255425416,0,0.0428203296519476
19,100.0548151632,105.6134160056,102.8341155844,997,252.541828543982,16.3245556165752,176.409753801976,300.582665851591,184.340270896214,16.3245556165752,136.299433588605,260.47234563822,3.40421263791374,1.9481487213977,0,13,1.80441323971916,1.56738231809266,0,9,436.882099440196,5.30346943555951e-14,436.882099440195,436.882099440196,0.57805487766054,0.0373660436934653,0.403792588499325,0.688017811296793,0.42194512233946,0.0373660436934653,0.311982188703207,0.596207411500675,0.0136305075221021,0.0080917916329883,0,0.073692070420283,0.00974901702821072,0.00844588723143307,0,0.0530791038556916
20,105.6134160056,111.172016848,108.3927164268,997,191.335027485814,11.8957360440184,132.978590637646,231.124707420456,157.142297817783,11.8957360440184,117.352617883142,215.498734665951,2.15045135406219,1.55017562707902,0,12,1.1283851554664,1.22784245261928,0,10,348.477325303597,0,348.477325303597,348.477325303597,0.549060192995688,0.0341363273310672,0.381598976409136,0.663241739528095,0.450939807004312,0.0341363273310672,0.336758260471905,0.618401023590864,0.0113543203922253,0.00832832185132092,0,0.0651932603393005,0.00714122118358306,0.00772924411567914,0,0.0608238399567643
21,111.172016848,116.7306176904,113.9513172692,997,134.607067700265,9.31372689689048,88.7745404547011,171.631223529014,127.211168592133,9.31372689689049,90.187012763384,173.043695837697,1.33099297893681,1.19098534892595,0,6,0.679037111334002,1.02835886901451,0,8,261.818236292398,0,261.818236292398,261.818236292398,0.514124109941433,0.0355732550519855,0.339069354800625,0.655535786809505,0.485875890058567,0.0355732550519855,0.344464213190495,0.660930645199375,0.0100475005878772,0.00920448940815441,0,0.0559300982867845,0.00532537561632213,0.00798662776835277,0,0.0542587919294725
22,116.7306176904,122.2892185328,119.5099181116,997,98.7307881736564,8.10620941461837,59.7330462862763,133.637684844645,83.1086472657417,8.10620941461837,48.2017505947528,122.106389153122,0.892678034102307,1.04589297641844,0,7,0.425275827482447,0.760259843253937,0,6,181.839435439398,0,181.839435439398,181.839435439398,0.542955866174368,0.0445789407288384,0.32849335537111,0.734921358074624,0.457044133825632,0.0445789407288384,0.265078641925376,0.67150664462889,0.00923497956156682,0.0110655584903542,0,0.0630959634920671,0.00510491684958038,0.00915858298010647,0,0.0826604829915107
23,122.2892185328,127.8478193752,125.068518954,997,67.5430507402083,5.72817638483618,27.2177854948363,94.8273662578968,44.2354663757908,5.72817638483617,16.9511508581023,84.5607316211628,0.676028084252758,0.969596586926314,0,9,0.248746238716148,0.710160718275463,0,8,111.778517115999,0,111.778517115999,111.778517115999,0.604257888571871,0.0512457718408602,0.243497464424142,0.848350548070779,0.395742111428129,0.0512457718408602,0.151649451929221,0.756502535575858,0.0105044909674453,0.016012427228819,0,0.163366613348152,0.00566500451633429,0.0159888132385223,0,0.144790596533062
24,127.8478193752,133.4064202176,130.6271197964,997,42.0624839590649,4.58350410242592,10.4734861977102,55.4139045327996,13.3514205737348,4.58350410242593,0,44.9404183350894,0.710130391173521,0.839073214018348,0,6,0.111334002006018,0.425872510686904,0,4,55.4139045327996,8.3394534774683e-15,55.4139045327995,55.4139045327997,0.759060100776115,0.0827139711787126,0.189004660220449,1,0.240939899223885,0.0827139711787126,0,0.810995339779551,0.0166047649301072,0.0203937445681541,0,0.134480493354981,0.00955938864160231,0.0601298135169461,0,1.56500147369893
25,133.4064202176,138.965021059999,136.185720638799,997,20.542395088262,1.63082253040948,1.94288444839268,21.4758580544,0.933462966137914,1.63082253040948,0,19.5329736060073,0.684052156469408,0.595731494333839,0,5,0.0300902708124373,0.230890740419952,0,3,21.4758580543999,7.72083365055825e-15,21.4758580543999,21.4758580544,0.956534311049487,0.0759374794841021,0.090468303686456,1,0.0434656889505128,0.075937479484102,0,0.909531696313544,0.0356081949021458,0.03952112269061,0,0.633302353788214,0.00902215932062138,0.0960892087358981,0,1.76301768906759
